obstacle,vertX,vertY
217,940.7458,466.78702
217,929.35205,457.33853
218,883.7953,357.5023
218,896.7029,341.64807
218,919.4812,359.99432
218,909.6106,371.79007
218,921.7632,382.2821
218,904.2913,406.0833
218,886.0732,392.1299
218,896.70715,378.02197
218,902.0221,384.0148
218,901.25854,360.43347
218,894.42926,367.9469
218,883.7953,357.5023
219,965.7976,581.6679
219,964.27905,607.2293
219,996.16864,608.3448
219,996.17377,595.76904
219,988.581,595.57935
219,999.96484,583.8396
219,999.9701,591.30695
219,1014.3961,591.25946
219,1015.1554,561.0935
219,989.34,559.6578
219,988.57587,575.687
219,998.4463,576.13806
219,980.9882,591.21204
219,981.74225,582.07153
219,965.7976,581.6679
220,1054.6322,478.2597
220,1069.0627,459.7137
220,1091.0774,475.24567
220,1085.7626,481.9031
220,1082.7255,479.3397
220,1078.9291,483.94403
220,1082.73,495.2078
220,1086.5217,488.1093
220,1097.1561,495.84857
220,1078.9291,519.96014
220,1059.9519,504.45218
220,1067.5446,494.31784
220,1075.1328,500.88995
220,1071.3364,485.3799
220,1066.0215,481.23834
220,1062.9843,485.30875
220,1054.6322,478.2597
221,996.9323,496.92877
221,984.0247,513.0442
221,1011.34894,533.92487
221,1017.42816,524.4814
221,1029.5715,533.925
221,1047.8036,509.40076
221,1031.8586,496.35916
221,1022.74756,506.9327
221,1029.581,511.98782
221,1024.2614,519.1176
221,1011.3538,519.60394
221,1003.76575,513.6377
221,1007.56213,506.16132
221,996.9323,496.92877
222,924.7918,405.47833
222,945.3006,380.45447
222,953.6486,388.9021
222,947.5744,397.73105
222,966.55634,398.7279
222,960.48206,392.9606
222,965.797,386.2083
222,988.57104,403.7221
222,973.39417,421.54987
222,963.51917,413.27676
222,968.0748,407.87732
222,963.51495,404.2917
222,948.3294,403.14056
222,945.29663,407.9129
222,951.3708,412.63593
222,943.7826,421.57355
222,924.7918,405.47833
223,960.4856,332.99844
223,1069.0583,410.54733
223,1145.7477,303.8884
223,1037.9276,226.34933
223,960.4856,332.99844
224,342.43262,194.94957
224,309.02457,258.17645
224,306.74683,283.80896
224,309.03064,331.52026
224,329.531,376.82852
224,364.44595,407.25375
224,393.3102,415.63275
